Ranking,Producto,NoProducto,Marca,Rentabilidad Prevista
1,PC,171,Dell,$204.157 
2,Laptop,173,Apple,$140.077 
3,PC,172,Dell,$134.927 
4,Laptop,176,Razer,$122.662 
5,Tablet,186,Apple,$118.297 
6,Tablet,187,Amazon,$71.774 
7,Netbook,180,Acer,$53.398 
8,Laptop,175,Toshiba,$47.982 
9,Game Console,199,Sony,$42.314 
10,Smartphone,193,Motorola,$23.880 
11,Netbook,181,Asus,$16.130 
12,Smartphone,196,Motorola,$10.823 
13,Netbook,178,HP,$8.867 
14,Netbook,183,Samsung,$8.630 
15,Smartphone,194,Samsung,$8.161 
16,Smartphone,195,HTC,$6.214 
17,Monitor,201,Asus,$1.867 
18,Impresora,999,Epson,$12.900
19,Monitor,256,AOC,$10.500
18,Impresora,999,Epson,$12.900
19,Monitor,256,AOC,$10.500
18,Impresora,999,Epson,$12.900
19,Monitor,256,AOC,$10.500
18,Impresora,999,Epson,$12.900
19,Monitor,256,AOC,$10.500
18,Impresora,999,Epson,$12.900
19,Monitor,256,AOC,$10.500
20,Monitor,500,Dell,$500
21,Keyboard,2638,Ryser,$400
22,Impresora,999,Epson,$12.900
23,Monitor,256,AOC,$10.500
